Company,TypeName,Ram,OpSys,Weight,TouchScreen,IPS,PPI,CPU_name,HDD,SSD,Gpu brand
Asus,Gaming,8,Windows,2.45,False,False,141.21199808219862,AMD Processor,1000,0,AMD
Acer,Notebook,8,Windows,2.2,False,False,141.21199808219862,Intel Core i7,1000,0,Nvidia
HP,Notebook,16,Windows,1.49,False,False,165.6321180513006,Intel Core i7,0,512,Intel
Dell,Gaming,8,Windows,2.65,False,False,141.21199808219862,Intel Core i5,0,256,Nvidia
Asus,Ultrabook,8,Windows,1.25,False,False,157.3505121487356,Intel Core i7,0,256,Intel
Acer,2 in 1 Convertible,8,Windows,1.5,True,True,165.6321180513006,Intel Core i5,0,256,Intel
Dell,Notebook,8,Other,2.2,False,False,141.21199808219862,Intel Core i7,1000,0,AMD
Dell,Notebook,4,Other,2.2,False,False,141.21199808219862,Intel Core i3,0,256,AMD
Asus,Notebook,6,Windows,2.0,False,False,141.21199808219862,Intel Core i3,0,256,Nvidia
HP,Gaming,12,Windows,2.62,False,True,141.21199808219862,Intel Core i7,1000,128,Nvidia
HP,Notebook,8,Windows,1.91,False,False,141.21199808219862,Intel Core i7,0,256,AMD
HP,Notebook,4,Windows,2.1,False,False,141.21199808219862,AMD Processor,500,0,AMD
Dell,Notebook,8,Other,2.2,False,False,141.21199808219862,Intel Core i5,1000,0,AMD
HP,Ultrabook,8,Windows,1.38,False,True,165.6321180513006,Intel Core i7,0,256,Nvidia
Microsoft,Ultrabook,8,Windows,1.252,True,False,200.84255993695703,Intel Core i5,0,256,Intel
HP,Notebook,6,Windows,1.58,False,True,157.3505121487356,Intel Core i5,0,256,Nvidia
Lenovo,Notebook,4,Windows,1.85,False,False,141.21199808219862,Intel Core i3,1000,0,Intel
Asus,Ultrabook,8,Windows,1.3,False,True,157.3505121487356,Intel Core i7,0,256,Nvidia
MSI,Gaming,16,Windows,2.2,False,False,141.21199808219862,Intel Core i7,1000,256,Nvidia
Lenovo,Notebook,8,Windows,1.58,False,True,157.3505121487356,Intel Core i7,0,256,Intel
Asus,Ultrabook,16,Windows,1.5,False,False,141.21199808219862,Intel Core i7,1000,256,Nvidia
Dell,Ultrabook,8,Windows,1.23,True,False,276.053530085501,Intel Core i7,0,256,Intel
Lenovo,2 in 1 Convertible,8,Windows,1.37,True,True,165.6321180513006,Intel Core i5,0,256,Intel
HP,Notebook,4,Windows,1.63,False,True,111.93520355955211,Intel Core i5,500,0,Intel
Dell,Ultrabook,8,Windows,1.21,False,True,165.6321180513006,Intel Core i5,0,256,Intel
HP,2 in 1 Convertible,8,Windows,1.26,True,True,165.6321180513006,Intel Core i5,0,256,Intel
HP,Notebook,8,Windows,1.63,False,False,157.3505121487356,Intel Core i7,0,512,Intel
Dell,Notebook,8,Windows,2.16,False,True,141.21199808219862,Intel Core i7,1000,256,Nvidia
Asus,Notebook,4,Windows,2.0,False,False,127.33567457123111,Intel Core i3,1000,0,Nvidia
Asus,Notebook,8,Windows,1.7,False,False,141.21199808219862,Intel Core i7,0,256,Nvidia
Acer,Notebook,6,Windows,2.1,True,True,141.21199808219862,Intel Core i3,1000,0,Intel
MSI,Gaming,16,Windows,1.8,False,False,141.21199808219862,Intel Core i7,2000,256,Nvidia
Lenovo,Notebook,8,Other,2.2,False,False,141.21199808219862,Intel Core i5,0,256,Nvidia
HP,Notebook,16,Windows,2.5,False,False,127.33567457123111,Intel Core i7,0,512,Nvidia
Acer,Notebook,4,Windows,2.1,False,False,100.45466986113651,AMD Processor,0,256,AMD
HP,Notebook,4,Other,1.86,False,False,100.45466986113651,Other Intel Processor,500,0,Intel
HP,Notebook,8,Windows,1.63,False,False,157.3505121487356,Intel Core i5,1000,0,Intel
Asus,Notebook,4,Windows,1.65,False,False,111.93520355955211,AMD Processor,0,64,AMD
Dell,Notebook,16,Windows,2.8,False,False,127.33567457123111,Intel Core i7,2000,256,AMD
HP,Notebook,8,Windows,2.5,False,False,127.33567457123111,Intel Core i5,0,256,Intel
Dell,Notebook,8,Windows,2.36,False,False,100.45466986113651,Intel Core i5,1000,0,AMD
Dell,Notebook,4,Windows,2.2,False,False,141.21199808219862,Intel Core i3,1000,0,AMD
Acer,Ultrabook,8,Windows,1.6,False,True,157.3505121487356,Intel Core i7,0,256,Intel
Acer,Notebook,4,Windows,2.2,False,False,141.21199808219862,Intel Core i3,0,256,Nvidia
HP,Notebook,8,Windows,2.05,False,False,100.45466986113651,Intel Core i7,1000,0,Intel
HP,Notebook,8,Windows,1.63,False,False,157.3505121487356,Intel Core i7,0,256,Intel
Lenovo,Notebook,4,Other,1.9,False,False,100.45466986113651,Other Intel Processor,1000,0,Intel
Asus,Gaming,8,Windows,3.0,False,False,127.33567457123111,Intel Core i5,1000,128,Nvidia
Lenovo,Notebook,4,Other,2.2,False,False,141.21199808219862,Intel Core i5,1000,0,Nvidia
HP,Notebook,4,Windows,1.32,False,True,165.6321180513006,Intel Core i5,0,256,Intel
Acer,Notebook,4,Windows,3.0,False,True,127.33567457123111,Intel Core i3,1000,0,Nvidia
Lenovo,Notebook,8,Windows,1.75,False,True,157.3505121487356,Intel Core i5,0,256,AMD
Lenovo,Gaming,8,Other,2.4,False,True,141.21199808219862,Intel Core i7,0,256,Nvidia
Toshiba,Notebook,4,Windows,2.1,False,False,100.45466986113651,Intel Core i5,500,0,Intel
HP,Notebook,4,Windows,1.86,False,False,100.45466986113651,AMD Processor,0,256,AMD
Asus,Ultrabook,8,Windows,1.25,False,False,157.3505121487356,Intel Core i7,0,256,Intel
HP,Ultrabook,8,Windows,0.97,True,True,352.4651472131677,Other Intel Processor,0,512,Intel
Asus,Notebook,4,Windows,2.0,False,False,141.21199808219862,Other Intel Processor,1000,0,Intel
MSI,Gaming,16,Windows,2.9,False,False,127.33567457123111,Intel Core i7,1000,256,Nvidia
Acer,Notebook,4,Windows,2.1,False,False,100.45466986113651,Intel Core i3,1000,0,Intel
Dell,Gaming,16,Windows,2.56,False,False,141.21199808219862,Intel Core i7,0,512,Nvidia
Dell,Gaming,8,Windows,2.62,False,False,141.21199808219862,Intel Core i7,0,0,Nvidia
Lenovo,Notebook,4,Windows,1.9,False,False,100.45466986113651,Intel Core i5,0,128,Intel
MSI,Gaming,16,Windows,2.8,False,False,127.33567457123111,Intel Core i7,1000,256,Nvidia
HP,Ultrabook,4,Windows,1.48,False,False,157.3505121487356,Intel Core i5,0,256,Intel
HP,Notebook,6,Windows,1.91,False,False,141.21199808219862,Intel Core i5,0,256,AMD
Lenovo,2 in 1 Convertible,4,Windows,1.74,True,True,157.3505121487356,Intel Core i3,0,256,Intel
Asus,2 in 1 Convertible,8,Windows,1.1,True,False,165.6321180513006,Intel Core i5,0,256,Intel
Dell,2 in 1 Convertible,8,Windows,1.56,True,False,141.21199808219862,Intel Core i7,0,256,Intel
Toshiba,Notebook,4,Windows,2.1,False,False,100.45466986113651,Intel Core i3,500,0,Intel
Asus,Notebook,4,Windows,2.03,False,False,100.45466986113651,AMD Processor,1000,0,AMD
Acer,Notebook,4,Windows,3.0,False,True,127.33567457123111,Intel Core i5,0,256,Nvidia
Dell,Notebook,8,Windows,2.13,False,False,141.21199808219862,Intel Core i5,0,256,AMD
Lenovo,Gaming,16,Windows,2.5,False,True,141.21199808219862,Intel Core i7,0,256,Nvidia
Acer,Notebook,4,Windows,2.1,False,False,100.45466986113651,Other Intel Processor,1000,0,Intel
MSI,Gaming,16,Windows,2.4,False,True,141.21199808219862,Intel Core i7,1000,256,Nvidia
Acer,Notebook,4,Windows,2.1,False,False,100.45466986113651,Other Intel Processor,1000,0,Intel
Dell,Gaming,8,Windows,2.56,False,False,141.21199808219862,Intel Core i7,1000,128,Nvidia
Acer,Notebook,8,Windows,3.0,False,True,127.33567457123111,Intel Core i5,0,256,Nvidia
HP,Notebook,4,Windows,1.49,False,True,165.6321180513006,Intel Core i5,500,0,Intel
Huawei,Ultrabook,8,Windows,1.05,False,True,199.69207064108247,Intel Core i5,0,256,Intel
HP,Notebook,6,Windows,2.71,False,True,127.33567457123111,Intel Core i5,2000,0,AMD
Lenovo,Notebook,4,Other,2.2,False,False,100.45466986113651,AMD Processor,500,0,AMD
Toshiba,Notebook,4,Windows,2.0,False,False,100.45466986113651,Intel Core i3,500,0,Intel
HP,Notebook,8,Windows,2.5,False,False,127.33567457123111,Intel Core i5,0,256,Nvidia
Dell,Notebook,8,Windows,2.3,False,False,100.45466986113651,Intel Core i3,1000,0,Intel
Acer,Notebook,4,Windows,2.1,False,False,100.45466986113651,Intel Core i3,0,128,Intel
MSI,Gaming,32,Windows,4.4,False,False,119.7232157653423,Intel Core i7,1000,512,Nvidia
Lenovo,Notebook,8,Windows,1.9,False,False,141.21199808219862,Intel Core i5,1000,128,AMD
HP,2 in 1 Convertible,8,Windows,1.29,True,True,331.2642361026012,Intel Core i5,0,256,Intel
Dell,Notebook,16,Other,2.02,False,False,141.21199808219862,Intel Core i7,2000,256,AMD
Dell,Ultrabook,8,Windows,1.23,False,False,165.6321180513006,Intel Core i5,0,256,Intel
Lenovo,2 in 1 Convertible,16,Windows,1.4,True,True,316.96506044349616,Intel Core i7,0,512,Intel
Toshiba,Notebook,8,Windows,2.0,False,False,100.45466986113651,Intel Core i5,0,128,Intel
Xiaomi,Notebook,8,Other,1.95,False,True,141.21199808219862,Intel Core i5,0,256,Nvidia
Dell,Notebook,16,Windows,2.77,True,False,127.33567457123111,Intel Core i7,0,512,Nvidia
Dell,Notebook,16,Windows,2.06,True,False,282.42399616439724,Intel Core i7,0,512,Nvidia
Lenovo,Gaming,8,Other,2.4,False,True,141.21199808219862,Intel Core i5,0,256,Nvidia
Acer,Ultrabook,8,Windows,1.12,False,True,165.6321180513006,Intel Core i5,0,256,Intel
Dell,Notebook,8,Windows,2.8,False,False,127.33567457123111,Intel Core i7,1000,128,AMD
Lenovo,2 in 1 Convertible,16,Windows,1.42,True,False,209.8006828649808,Intel Core i7,0,1000,Intel
Vero,Notebook,4,Windows,1.3,False,True,157.3505121487356,Other Intel Processor,0,0,Intel
Xiaomi,Ultrabook,8,Other,1.3,False,True,165.6321180513006,Intel Core i5,0,256,Nvidia
Lenovo,Notebook,8,Other,2.8,False,False,106.11306214269258,Intel Core i5,0,256,Nvidia
Dell,2 in 1 Convertible,8,Windows,1.62,True,True,165.6321180513006,Intel Core i7,1000,0,Intel
HP,Notebook,8,Windows,2.5,False,True,127.33567457123111,Intel Core i5,1000,0,Nvidia
Razer,Gaming,32,Windows,3.49,True,False,254.67134914246222,Intel Core i7,0,1000,Nvidia
HP,Notebook,8,Windows,1.49,False,False,165.6321180513006,Intel Core i5,0,512,Intel
HP,Gaming,16,Windows,3.35,False,True,127.33567457123111,Intel Core i7,1000,256,Nvidia
HP,Notebook,8,Windows,2.5,False,False,127.33567457123111,Intel Core i7,0,256,Nvidia
Dell,Gaming,16,Windows,2.65,False,True,282.42399616439724,Intel Core i7,1000,512,Nvidia
Lenovo,Notebook,4,Windows,2.1,False,False,100.45466986113651,Intel Core i5,0,128,Intel
Acer,Notebook,8,Windows,2.23,False,False,141.21199808219862,Intel Core i7,1000,0,Nvidia
Lenovo,Gaming,16,Windows,3.2,False,True,141.21199808219862,Intel Core i7,1000,512,Nvidia
Dell,Workstation,16,Windows,2.8,False,False,282.42399616439724,Other Intel Processor,1000,256,Nvidia
Lenovo,Gaming,16,Other,2.4,False,False,141.21199808219862,Intel Core i7,0,512,Nvidia
Dell,Notebook,6,Windows,2.3,True,False,100.45466986113651,Intel Core i3,1000,0,Intel
Dell,Ultrabook,8,Windows,1.21,True,True,331.2642361026012,Intel Core i7,0,256,Intel
Dell,Ultrabook,8,Windows,1.2,False,False,165.6321180513006,Intel Core i7,0,256,Intel
Lenovo,Notebook,8,Windows,2.2,False,False,100.45466986113651,Intel Core i5,0,256,Intel
Acer,Notebook,8,Other,2.4,False,False,141.21199808219862,Intel Core i7,1000,0,Nvidia
Asus,Gaming,16,Windows,2.9,False,False,127.33567457123111,Intel Core i7,1000,256,Nvidia
HP,Notebook,4,Other,2.1,False,False,141.21199808219862,Intel Core i3,500,0,Intel
Lenovo,Notebook,8,Other,2.2,False,False,141.21199808219862,Intel Core i5,0,256,Intel
Huawei,Ultrabook,8,Windows,1.05,False,True,199.69207064108247,Intel Core i7,0,512,Intel
Dell,Ultrabook,8,Windows,1.4,False,True,165.6321180513006,Intel Core i7,0,256,AMD
Lenovo,Notebook,8,Other,2.8,False,False,106.11306214269258,Intel Core i5,1000,0,Nvidia
HP,Notebook,8,Windows,1.63,False,False,157.3505121487356,Intel Core i7,0,256,Nvidia
Dell,Ultrabook,8,Windows,1.6,False,False,157.3505121487356,Intel Core i5,0,256,Intel
Dell,2 in 1 Convertible,16,Windows,1.62,True,False,165.6321180513006,Intel Core i7,0,512,Intel
Dell,Notebook,8,Other,2.2,False,False,141.21199808219862,Intel Core i5,0,256,AMD
Lenovo,2 in 1 Convertible,8,Windows,1.74,False,True,157.3505121487356,Intel Core i5,0,256,Intel
Toshiba,Ultrabook,8,Windows,1.2,False,False,165.6321180513006,Intel Core i7,0,256,Intel
